TNAME,2023_homestead_value,2024_homestead_value
Barnard,292250.0,459950.0
Bridgewater,173260.0,311200.0
Bridport,223700.0,407800.0
Brunswick,150300.0,268350.0
Cabot,180850.0,283150.0
Concord,120000.0,183500.0
Kirby,202200.0,315600.0
Lincoln,249100.0,435000.0
Lunenburg,108550.0,176200.0
Maidstone,250000.0,415500.0
Monkton,260050.0,420400.0
Moretown,251400.0,417100.0
Orwell,207350.0,318200.0
Panton,256450.0,380000.0
Randolph,180100.0,280700.0
Reading,222700.0,299050.0
Salisbury,224581.0,311700.0
Shoreham,217800.0,374400.0
Stamford,190050.0,316450.0
Starksboro,217500.0,369600.0
Stowe,386800.0,869450.0
Tinmouth,197200.0,319500.0
Troy,136500.0,201100.0
Vershire,170100.0,275900.0
West Windsor,266350.0,476300.0
Wilmington,214960.0,314800.0
Windham,188000.0,340900.0
Windsor,159985.0,228375.0
Winooski,206200.0,392200.0
